,,,,,,,,,,,,,,,
,1,Year,Date,Employee,WO/SO,Part #,Product Family,Operation,QTY,Target Time,Actual Time,QTY Complete,Actual Time/Unit,Target/Unit,Root Cause
,44,2019,10/31,KP,28823,1204-05,Option Cards,Assembly,12,120,215,12,18,10,
,44,2019,10/31,KP,28944,1186-6002-0600,Timing ,Assembly,4,32,15,4,4,8,
,44,2019,10/31,KP,28852,1209-0002-0600,SecureSync,Assembly,4,188,55,0,,47,
,44,2019,11/1,KP,28904,1191-2001-0600,Timing ,Assembly,3,24,18,3,6,8,
,44,2019,11/1,KP,28903,1191-9000-0600,Timing ,Assembly,6,48,60,6,10,8,
,44,2019,11/1,KP,28892,1191-1001-0600,Timing ,Assembly,13,104,30,13,2,8,
,44,2019,11/1,KP,28950,1204-06,Option Cards,Assembly,24,240,30,24,1,10,
,44,2019,11/1,KP,28891,1191-3001-0600,Timing ,Assembly,8,64,125,8,16,8,
,44,2019,11/1,KP,28852,1209-0002-0600,SecureSync,Assembly,4,188,130,0,,47,
,45,2019,11/7,DK,29076,1204-05,Option Cards,Test,12,120,120,12,10,10,
,45,2019,11/7,DK,28969,1204-04,Option Cards,Test,3,30,30,3,10,10,
,45,2019,11/7,DK,29078,1204-1A,Option Cards,Test,6,60,60,6,10,10,
,45,2019,11/7,DK,28952,1204-15,Option Cards,Test,12,120,120,12,10,10,
,45,2019,11/7,DK,28969,1204-10,Option Cards,Test,3,30,30,3,10,10,
,45,2019,11/7,DK,28941,1204-17,Option Cards,Test,12,120,75,12,6,10,
,45,2019,11/6,DK,28949,1204-32,Option Cards,Test,9,90,60,9,7,10,
,45,2019,11/6,DK,28965,1204-14,Option Cards,Test,9,90,90,9,10,10,
,45,2019,11/6,DK,28941,1204-17,Option Cards,Test,10,100,120,10,12,10,
,45,2019,11/4,DK,28823,1204-05,Option Cards,Test,12,120,90,12,8,10,
,45,2019,11/4,DK,28946,1204-17,Option Cards,Test,12,120,90,12,8,10,
,45,2019,11/4,DK,28852,1209-0002-0600,SecureSync,Test,4,128,120,4,30,32,
,45,2019,11/4,DK,28953,1204-27,Option Cards,Test,9,90,60,9,7,10,
,45,2019,11/5,DK,28947,1200-013,SecureSync,Test,10,320,380,10,38,32,
,45,2019,11/4,EE,28947,1200-013,SecureSync,Assembly,10,470,74,10,7,47,
,45,2019,11/4,EE,28945,1200-013,SecureSync,Assembly,2,94,160,2,80,47,
,45,2019,11/4,EE,28959,1200-013,SecureSync,Assembly,10,470,150,0,,47,
,45,2019,11/4,KP,28852,1209-0002-0600,SecureSync,Assembly,4,188,135,4,34,47,
,45,2019,11/4,KP,28725,1200-213,SecureSync,Assembly,4,188,340,4,85,47,
,45,2019,11/4,PC,61567,1200-013,Configuration,Assembly,1,10,15,1,15,10,
,45,2019,11/4,PC,61570,1200-033,Configuration,Assembly,1,10,18,1,18,10,
,45,2019,11/4,PC,61738,1200-033,Configuration,Assembly,1,10,12,1,12,10,
,45,2019,11/4,PC,61654,1200-033,Configuration,Assembly,1,10,11,1,11,10,
,45,2019,11/4,PC,61817,1200-033,Configuration,Assembly,1,10,10,1,10,10,
,45,2019,11/4,PC,61665,1200-013,Configuration,Assembly,9,90,101,9,11,10,
,45,2019,11/4,PC,61931,1200-013,Configuration,Assembly,1,10,13,1,13,10,
,45,2019,11/4,JO,28938,1212-006X-0600,GSG,Assembly,5,450,455,5,91,90,
,45,2019,11/4,JO,28894,1200-033,SecureSync,Assembly,5,235,105,0,,47,
,45,2019,11/5,KP,28967,1191-0041-0600,Timing ,Assembly,3,24,13,3,4,8,
,45,2019,11/5,KP,28847,CA05R-MD15-0001,Cables,Assembly,18,414,450,0,,23,
,45,2019,11/5,EE,28959,1200-013,SecureSync,Assembly,10,470,494,10,49,47,
,45,2019,11/5,PC,61806,1200-033,Configuration,Assembly,1,10,12,1,12,10,
,45,2019,11/5,PC,61877,1200-013,Configuration,Assembly,6,60,48,6,8,10,
,45,2019,11/5,PC,61811,1200-013,Configuration,Assembly,1,10,10,1,10,10,
,45,2019,11/5,PC,61456,1200-003,Configuration,Assembly,1,10,6,1,6,10,
,45,2019,11/5,PC,28949,1204-32,Option Cards,Assembly,9,90,68,9,8,10,
,45,2019,11/5,PC,28965,1204-14,Option Cards,Assembly,9,90,60,9,7,10,
,45,2019,11/5,PC,28951,1204-05,Option Cards,Assembly,12,120,105,6,18,10,
,45,2019,11/5,JO,28894,1200-033,SecureSync,Assembly,5,235,120,5,24,47,
,45,2019,11/5,JO,28879,1200-001,SecureSync,Assembly,3,141,135,3,45,47,
,45,2019,11/5,JO,28942,1200-031,SecureSync,Assembly,1,47,45,1,45,47,
,45,2019,11/5,JO,28901,1200-113,SecureSync,Assembly,6,282,255,6,43,47,
,45,2019,11/5,JO,28874,1200-233,SecureSync,Assembly,3,141,15,0,,47,
,45,2019,11/6,PC,28951,1204-05,Option Cards,Assembly,6,60,60,6,10,10,
,45,2019,11/6,PC,29076,1204-05,Option Cards,Assembly,12,120,106,12,9,10,
,45,2019,11/6,PC,28963,1204-0F,Option Cards,Assembly,12,120,220,10,22,10,
,45,2019,11/6,KP,28847,CA05R-MD15-0001,Cables,Assembly,18,414,355,18,20,23,
,45,2019,11/6,KP,28897,CA05R-MD15-0001,Cables,Assembly,6,138,125,6,21,23,
,45,2019,11/6,EE,28983,1200-013,SecureSync,Assembly,10,470,500,10,50,47,
,45,2019,11/6,JO,28874,1200-233,SecureSync,Assembly,3,141,120,3,40,47,
,45,2019,11/6,JO,28941,1204-17,Option Cards,Assembly,12,120,135,12,11,10,
,45,2019,11/6,JO,28966,1204-10,Option Cards,Assembly,3,30,45,3,15,10,
,45,2019,11/6,JO,28943,1204-1C,Option Cards,Assembly,21,210,240,21,11,10,
,45,2019,11/7,EE,28960,1209-0012-0600,SecureSync,Assembly,8,376,420,0,,47,
,45,2019,11/7,JO,28821,1212-005X-0600,GSG,Assembly,10,900,510,0,,90,
,45,2019,11/7,JO,29134,1204-10,Option Cards,Assembly,5,50,60,5,12,10,
,45,2019,11/7,KP,29133,1204-13,Option Cards,Assembly,5,50,70,5,14,10,
,45,2019,11/7,KP,28964,CA05R-MD25-0001,Cables,Assembly,10,230,240,0,,23,
,45,2019,11/7,PC,28963,1204-0F,Option Cards,Assembly,30,300,30,3,10,10,
,45,2019,11/7,PC,61874,1200-213,Configuration,Assembly,5,50,35,5,7,10,
,45,2019,11/7,PC,61977,1200-003,Configuration,Assembly,2,20,10,2,5,10,
,45,2019,11/7,PC,61813,1200-011,Configuration,Assembly,2,20,15,2,8,10,
,45,2019,11/7,PC,61735,1200-113,Configuration,Assembly,6,60,30,6,5,10,
,45,2019,11/7,PC,61876,1200-031,Configuration,Assembly,1,10,14,1,14,10,
,45,2019,11/7,PC,60536,1200-033,Configuration,Assembly,1,10,11,1,11,10,
,45,2019,11/7,PC,61380,1200-233,Configuration,Assembly,1,10,15,1,15,10,
,45,2019,11/7,PC,61938,1200-213,Configuration,Assembly,1,10,10,1,10,10,
,45,2019,11/8,JO,28821,1212-005X-0600,GSG,Assembly,10,900,375,10,38,90,
,45,2019,11/8,JO,28970,1200-003,SecureSync,Assembly,8,376,195,0,,47,
,45,2019,11/8,KP,29170,1191-1001-0600,Timing ,Assembly,16,128,35,16,2,8,
,45,2019,11/8,KP,28964,CA05R-MD25-0001,Cables,Assembly,10,230,220,10,22,23,
,45,2019,11/8,KP,28958,1228-1115-3000,Option Cards,Assembly,3,30,80,3,27,10,
,45,2019,11/8,KP,28978,1200-413,SecureSync,Assembly,1,47,12,0,,47,
,45,2019,11/8,PC,61939,1200-013,Configuration,Assembly,1,10,10,1,10,10,
,45,2019,11/8,PC,61929,1200-013,Configuration,Assembly,2,20,20,2,10,10,
,45,2019,11/8,PC,29158,1200-9004-0601,SecureSync,Assembly,4,188,40,4,10,47,
,45,2019,11/8,PC,28984,1204-27,Option Cards,Assembly,18,180,285,7,41,10,
,45,2019,11/8,EE,28960,1209-0012-0600,SecureSync,Assembly,8,376,180,8,23,47,
,45,2019,11/8,EE,28980,1200-213,SecureSync,Assembly,3,141,240,0,,47,
,45,2019,11/8,DK,28963,1204-0F,Option Cards,Test,12,120,120,12,10,10,
,45,2019,11/8,DK,28943,1204-1C,Option Cards,Test,21,210,150,21,7,10,
,45,2019,11/8,DK,28960,1209-0012-0600,SecureSync,Test,8,256,120,8,15,32,
